1,2025-02-14 15:17:09.171787,172.31.17.34,visited
2,2025-02-14 15:18:14.947301,172.31.17.34,visited
3,2025-02-14 15:19:43.532290,172.31.42.160,visited
4,2025-02-14 15:33:01.724548,172.31.49.239,visited
5,2025-02-15 12:32:58.867780,172.31.10.181,visited
6,2025-02-15 12:52:17.647228,92.38.241.64,visited
7,2025-02-15 12:52:42.205668,172.31.10.181,visited
8,2025-02-15 12:52:50.868492,172.31.42.160,visited
9,2025-02-15 12:53:42.587404,172.31.17.34,visited
10,2025-02-15 12:53:46.570216,172.31.17.34,visited
